strategy,feature,importance
adasyn,receiver_entity_type,0.27031246324380237
adasyn,sender_entity_type,0.172283706565698
adasyn,payment_format,0.1041137104233106
adasyn,receiver_cross_bank_ratio_30d,0.08303360392649968
adasyn,sender_unique_counterparties_30d,0.0542952852944533
adasyn,receiver_tx_count_1d,0.031481823263068996
adasyn,same_bank_flag,0.03078475532432397
adasyn,receiver_unique_counterparties_30d,0.026297879715760548
adasyn,sender_tx_count_7d,0.023950084423025448
adasyn,sender_cross_bank_ratio_30d,0.023608489117274683
adasyn,receiver_tx_count_7d,0.02059258831044038
adasyn,self_transfer_flag,0.01758131633202235
adasyn,sender_unique_counterparties_7d,0.014285902492702007
adasyn,receiver_tx_count_30d,0.013064431337018808
adasyn,sender_tx_count_30d,0.011740519665181637
adasyn,sender_tx_count_1d,0.011548960426201424
adasyn,receiver_unique_counterparties_7d,0.010824300348758698
adasyn,hour,0.010726396925747395
adasyn,amount_received,0.009626203837494055
adasyn,fan_in_score,0.0086008304109176
adasyn,payment_currency,0.007934616917433837
adasyn,fan_out_score,0.00789459856847922
adasyn,day_of_week,0.007433652722587188
adasyn,currency_mismatch,0.0067408528799812
adasyn,sender_avg_amount_7d,0.005115194401393334
adasyn,receiver_avg_amount_7d,0.0044462467000509305
adasyn,receiver_avg_amount_30d,0.004331488938381274
adasyn,sender_avg_amount_30d,0.0037406047340482473
adasyn,amount_paid,0.003405169118195772
adasyn,amount_ratio,0.00020433527727921805
baseline,payment_format,0.17551082372665405
baseline,self_transfer_flag,0.14196045696735382
baseline,sender_unique_counterparties_7d,0.09469613432884216
baseline,sender_tx_count_7d,0.08744080364704132
baseline,sender_unique_counterparties_30d,0.06747926771640778
baseline,same_bank_flag,0.05792346969246864
baseline,receiver_tx_count_7d,0.05667874589562416
baseline,sender_cross_bank_ratio_30d,0.040231283754110336
baseline,receiver_tx_count_1d,0.03748040646314621
baseline,currency_mismatch,0.029072921723127365
baseline,fan_in_score,0.02518981508910656
baseline,day_of_week,0.021358106285333633
baseline,sender_entity_type,0.01946692354977131
baseline,sender_tx_count_30d,0.0173964723944664
baseline,sender_tx_count_1d,0.015333849005401134
baseline,sender_avg_amount_30d,0.014539704658091068
baseline,receiver_tx_count_30d,0.014184031635522842
baseline,fan_out_score,0.011770607903599739
baseline,amount_received,0.011638742871582508
baseline,receiver_avg_amount_30d,0.00930088572204113
baseline,receiver_unique_counterparties_30d,0.00850189384073019
baseline,sender_avg_amount_7d,0.008406445384025574
baseline,hour,0.008010354824364185
baseline,amount_paid,0.007729834411293268
baseline,receiver_unique_counterparties_7d,0.006077570840716362
baseline,payment_currency,0.004085443913936615
baseline,receiver_avg_amount_7d,0.0035765680950134993
baseline,amount_ratio,0.0019489933038130403
baseline,receiver_cross_bank_ratio_30d,0.0016590214800089598
baseline,receiver_entity_type,0.0013505505630746484
class_weighting,payment_format,0.23445281386375427
class_weighting,sender_unique_counterparties_7d,0.14512950678666434
class_weighting,sender_unique_counterparties_30d,0.12364090234041214
class_weighting,sender_tx_count_7d,0.07632200171550114
class_weighting,self_transfer_flag,0.05598151683807373
class_weighting,receiver_tx_count_7d,0.04825821643074354
class_weighting,same_bank_flag,0.04413865506649017
class_weighting,fan_in_score,0.04247490440805753
class_weighting,currency_mismatch,0.02810553585489591
class_weighting,sender_entity_type,0.020113016478717327
class_weighting,sender_cross_bank_ratio_30d,0.019403592683374882
class_weighting,sender_tx_count_30d,0.018746102849642437
class_weighting,sender_tx_count_1d,0.017807667143642902
class_weighting,receiver_tx_count_1d,0.013603558608641228
class_weighting,amount_received,0.013513401461144289
class_weighting,fan_out_score,0.013341298637290796
class_weighting,sender_avg_amount_30d,0.01291265400747458
class_weighting,day_of_week,0.011291724629700184
class_weighting,receiver_unique_counterparties_7d,0.010593016942342123
class_weighting,receiver_avg_amount_30d,0.010393545652429262
class_weighting,amount_paid,0.007529447786509991
class_weighting,hour,0.006029673541585605
class_weighting,receiver_tx_count_30d,0.005406623395780723
class_weighting,sender_avg_amount_7d,0.005035738460719585
class_weighting,receiver_unique_counterparties_30d,0.004732879810035229
class_weighting,receiver_avg_amount_7d,0.004494337520251672
class_weighting,payment_currency,0.003047760110348463
class_weighting,receiver_cross_bank_ratio_30d,0.0018702435384814937
class_weighting,amount_ratio,0.0008679403690621257
class_weighting,receiver_entity_type,0.0007617861265316606
random_undersampling,payment_format,0.20491536955038706
random_undersampling,sender_tx_count_7d,0.10071782519419988
random_undersampling,sender_unique_counterparties_30d,0.09501306464274724
random_undersampling,self_transfer_flag,0.09498029698928197
