feature,mean_importance
payment_format,0.08116543823734168
sender_avg_amount_30d,0.05901410952894772
amount_received,0.049224126978163564
amount_paid,0.048341656014833624
receiver_entity_type,0.04735922294280767
sender_tx_count_30d,0.046048033080418285
receiver_avg_amount_30d,0.04563922172776014
receiver_avg_amount_7d,0.042592838163327484
receiver_tx_count_30d,0.041024261252923376
sender_tx_count_7d,0.04043217096786597
fan_in_score,0.03940044296380294
receiver_unique_counterparties_30d,0.038758968395441046
sender_avg_amount_7d,0.038298461029121884
receiver_tx_count_1d,0.03492672645289598
receiver_unique_counterparties_7d,0.03488147843967255
receiver_tx_count_7d,0.034240737839945586
receiver_cross_bank_ratio_30d,0.03380683566256704
day_of_week,0.033698555470321426
hour,0.03324910043296226
sender_entity_type,0.031667850500943145
sender_tx_count_1d,0.03112650122903609
sender_cross_bank_ratio_30d,0.02961200598531332
sender_unique_counterparties_30d,0.023347785337779505
sender_unique_counterparties_7d,0.020153650325668085
fan_out_score,0.01886686109435927
payment_currency,0.014979629760262233
same_bank_flag,0.004176059315770509
self_transfer_flag,0.0032887290976327233
currency_mismatch,0.0005604684190786763
amount_ratio,0.00011807335303622872
