feature,mean_importance
payment_format,0.17818871587514878
receiver_entity_type,0.08843060951524724
sender_unique_counterparties_30d,0.07304053728779157
sender_tx_count_7d,0.07079344950616359
sender_unique_counterparties_7d,0.06773640569299459
self_transfer_flag,0.0667425782730182
sender_entity_type,0.05983856798460086
same_bank_flag,0.050977229078610735
receiver_tx_count_7d,0.044192323957880336
receiver_tx_count_1d,0.034096002113074064
sender_cross_bank_ratio_30d,0.029336354477951923
receiver_cross_bank_ratio_30d,0.028380519438845415
currency_mismatch,0.023928803731299315
fan_in_score,0.02325214569767316
sender_tx_count_1d,0.02088640086973707
receiver_unique_counterparties_30d,0.01904156735787789
day_of_week,0.01555361207574606
sender_tx_count_30d,0.014710755491008361
amount_received,0.01156420207892855
sender_avg_amount_30d,0.010650353273376822
fan_out_score,0.010122747191538413
receiver_tx_count_30d,0.009691061079502105
receiver_unique_counterparties_7d,0.008856986307849486
receiver_avg_amount_30d,0.008413135912269354
sender_avg_amount_7d,0.007675428905834754
hour,0.007509172987192869
amount_paid,0.006497324754794438
payment_currency,0.005326050496660173
receiver_avg_amount_7d,0.0036658592987805607
amount_ratio,0.0009011436818885461
