run_id,model,strategy,target_prevalence,achieved_train_prevalence,train_rows_after_sampling,train_positives_after_sampling,n_synthetic_samples,val_rows,val_positives,test_rows,test_positives,train_time_sec,created_at,pr_auc_val,roc_auc_val,precision_val,recall_val,f1_val,weighted_accuracy_val,tp_val,fp_val,tn_val,fn_val,pr_auc_test,roc_auc_test,precision_test,recall_test,f1_test,weighted_accuracy_test,tp_test,fp_test,tn_test,fn_test,optimal_threshold,threshold_criterion,precision_val_thresh,recall_val_thresh,f1_val_thresh,weighted_accuracy_val_thresh,tp_val_thresh,fp_val_thresh,tn_val_thresh,fn_val_thresh,precision_test_thresh,recall_test_thresh,f1_test_thresh,weighted_accuracy_test_thresh,tp_test_thresh,fp_test_thresh,tn_test_thresh,fn_test_thresh
xgboost__random_undersampling__p001__20260401_094617,xgboost,random_undersampling,0.001,0.001,63811000,63811,0,26409984,17107,26409984,19686,26.47,2026-04-01T09:53:44,0.012848977619415572,0.8722526305989596,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.01886305815958193,0.9011978146862281,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.028542829677462578,f1,0.030925682929738758,0.06061846027941778,0.04095657497185964,0.5296936284377957,1037.0,32495.0,26360382.0,16070.0,0.04145649828101081,0.0839175048257645,0.055496766607877716,0.5412350584250397,1652.0,38197.0,26352101.0,18034.0
xgboost__random_undersampling__p010__20260401_093212,xgboost,random_undersampling,0.01,0.01,6381099,63811,0,26409984,17107,26409984,19686,3.26,2026-04-01T09:39:02,0.012651839028241275,0.872424846875829,0.0967741935483871,0.0010522008534518032,0.002081767189036026,0.5005229177498405,18.0,168.0,26392709.0,17089.0,0.01873005882324583,0.9012796320706686,0.025684931506849314,0.0007619628162145687,0.0014800197335964479,0.5003702009311324,15.0,569.0,26389729.0,19671.0,0.22416678071022034,f1,0.030516644072902544,0.05921552580814871,0.04027672855950062,0.5289980908323413,1013.0,32182.0,26360695.0,16094.0,0.04202195557824866,0.08361271969927868,0.05593312491504689,0.5410954167598733,1646.0,37524.0,26352774.0,18040.0
xgboost__random_undersampling__p005__20260401_093913,xgboost,random_undersampling,0.005,0.005,12762200,63811,0,26409984,17107,26409984,19686,5.82,2026-04-01T09:46:06,0.012697653094124179,0.8723437413509225,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.01872659228965889,0.9013881458428248,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.12582625448703766,f1,0.029852022923616457,0.06120301630911323,0.040130318129551555,0.5299569024149252,1047.0,34026.0,26358851.0,16060.0,0.04066845572090754,0.08467946764197908,0.0549475904805854,0.5415947062354743,1667.0,39323.0,26350975.0,18019.0
random_forest__random_undersampling__p010__20260401_090300,random_forest,random_undersampling,0.01,0.01,6381099,63811,0,26409984,17107,26409984,19686,26.63,2026-04-01T09:11:22,0.011839866896068805,0.8637710632884686,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.018722031061662113,0.8915458240108904,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.21177478698999785,f1,0.026176565303399735,0.06652247617934179,0.03756953500272363,0.5324592035104322,1138.0,42336.0,26350541.0,15969.0,0.03798019801980198,0.09742964543330286,0.0546547744564443,0.5477943708142153,1918.0,48582.0,26341716.0,17768.0
xgboost__baseline__p001__20260401_085535,xgboost,baseline,0.001,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,48.72,2026-04-01T09:02:49,0.012752303500901651,0.8722756509780577,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.018698176732621606,0.900991344858205,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.015302781946957111,f1,0.03189669087974173,0.0577541357339101,0.04109646021380142,0.5283089789845045,988.0,29987.0,26362890.0,16119.0,0.04303933413881058,0.08142842629279691,0.05631378335177671,0.5400389270999896,1603.0,35642.0,26354656.0,18083.0
xgboost__baseline__p005__20260401_084814,xgboost,baseline,0.005,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,48.16,2026-04-01T08:55:24,0.012752303500901651,0.8722756509780577,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.018698176732621606,0.900991344858205,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.015302781946957111,f1,0.03189669087974173,0.0577541357339101,0.04109646021380142,0.5283089789845045,988.0,29987.0,26362890.0,16119.0,0.04303933413881058,0.08142842629279691,0.05631378335177671,0.5400389270999896,1603.0,35642.0,26354656.0,18083.0
xgboost__baseline__p010__20260401_084053,xgboost,baseline,0.01,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,52.21,2026-04-01T08:48:04,0.012752303500901651,0.8722756509780577,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.018698176732621606,0.900991344858205,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.015302781946957111,f1,0.03189669087974173,0.0577541357339101,0.04109646021380142,0.5283089789845045,988.0,29987.0,26362890.0,16119.0,0.04303933413881058,0.08142842629279691,0.05631378335177671,0.5400389270999896,1603.0,35642.0,26354656.0,18083.0
xgboost__adasyn__p001__20260401_130250,xgboost,adasyn,0.001,0.00103497,123310400,127622,63811,26409984,17107,26409984,19686,50.0,2026-04-01T13:21:59,0.012700791067826681,0.8719645239001871,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.018686868161421094,0.9008853712596852,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.02924344129860401,f1,0.029672597467789615,0.062196761559595484,0.04017747569149438,0.5304392256600439,1064.0,34794.0,26358083.0,16043.0,0.040447815095702416,0.0853398354160317,0.05488312833831528,0.5419148106607228,1680.0,39855.0,26350443.0,18006.0
xgboost__smote__p001__20260401_105543,xgboost,smote,0.001,0.001,123306084,123306,59495,26409984,17107,26409984,19686,50.6,2026-04-01T11:03:18,0.01277259488900853,0.8718259078204067,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.018564311101759302,0.900660216183565,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.028813941404223442,f1,0.03125096405984883,0.05921552580814871,0.040911110213642424,0.5290128675465281,1013.0,31402.0,26361475.0,16094.0,0.04221834924433577,0.08244437671441633,0.05584131844690258,0.5405245835025767,1623.0,36820.0,26353478.0,18063.0
xgboost__adasyn__p005__20260401_124324,xgboost,adasyn,0.005,0.00505503,123808634,625856,562045,26409984,17107,26409984,19686,49.65,2026-04-01T13:02:39,0.012369496278838477,0.8698554702225378,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.01833892876287553,0.8992085491213372,0.0,0.0,0.0,0.4999999431609318,0.0,3.0,26390295.0,19686.0,0.129413440823555,f1,0.031284504968715494,0.05465598877652423,0.03979231391241435,0.5267795130688672,935.0,28952.0,26363925.0,16172.0,0.04361200551977921,0.07705983947983339,0.055700385533321094,0.5378996312907313,1517.0,33267.0,26357031.0,18169.0
