run_id,model,strategy,target_prevalence,achieved_train_prevalence,train_rows_after_sampling,train_positives_after_sampling,n_synthetic_samples,val_rows,val_positives,test_rows,test_positives,train_time_sec,created_at,pr_auc_val,roc_auc_val,precision_val,recall_val,f1_val,weighted_accuracy_val,tp_val,fp_val,tn_val,fn_val,pr_auc_test,roc_auc_test,precision_test,recall_test,f1_test,weighted_accuracy_test,tp_test,fp_test,tn_test,fn_test,optimal_threshold,threshold_criterion,precision_val_thresh,recall_val_thresh,f1_val_thresh,weighted_accuracy_val_thresh,tp_val_thresh,fp_val_thresh,tn_val_thresh,fn_val_thresh,precision_test_thresh,recall_test_thresh,f1_test_thresh,weighted_accuracy_test_thresh,tp_test_thresh,fp_test_thresh,tn_test_thresh,fn_test_thresh
xgboost__baseline__p001__20260404_143052,xgboost,baseline,0.001,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,125.89,2026-04-04T14:37:18,0.04560829665529349,0.9628897422047726,0.9210526315789473,0.004091892207868124,0.008147587732060757,0.5020458324369181,70.0,6.0,26392871.0,17037.0,0.10785395011050025,0.9663350267110301,0.8721893491124261,0.03743777303667581,0.07179387268033705,0.5187168403118142,737.0,108.0,26390190.0,18949.0,0.04049069061875343,f1,0.07189768406498445,0.09727012334132226,0.08268117562296588,0.5482281336953735,1664.0,21480.0,26371397.0,15443.0,0.09092488561996873,0.23925632429137458,0.13177221033194847,0.6187359592611286,4710.0,47091.0,26343207.0,14976.0
xgboost__baseline__p005__20260404_142413,xgboost,baseline,0.005,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,125.72,2026-04-04T14:30:38,0.04560829665529349,0.9628897422047726,0.9210526315789473,0.004091892207868124,0.008147587732060757,0.5020458324369181,70.0,6.0,26392871.0,17037.0,0.10785395011050025,0.9663350267110301,0.8721893491124261,0.03743777303667581,0.07179387268033705,0.5187168403118142,737.0,108.0,26390190.0,18949.0,0.04049069061875343,f1,0.07189768406498445,0.09727012334132226,0.08268117562296588,0.5482281336953735,1664.0,21480.0,26371397.0,15443.0,0.09092488561996873,0.23925632429137458,0.13177221033194847,0.6187359592611286,4710.0,47091.0,26343207.0,14976.0
xgboost__baseline__p010__20260404_141733,xgboost,baseline,0.01,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,127.68,2026-04-04T14:24:00,0.04560829665529349,0.9628897422047726,0.9210526315789473,0.004091892207868124,0.008147587732060757,0.5020458324369181,70.0,6.0,26392871.0,17037.0,0.10785395011050025,0.9663350267110301,0.8721893491124261,0.03743777303667581,0.07179387268033705,0.5187168403118142,737.0,108.0,26390190.0,18949.0,0.04049069061875343,f1,0.07189768406498445,0.09727012334132226,0.08268117562296588,0.5482281336953735,1664.0,21480.0,26371397.0,15443.0,0.09092488561996873,0.23925632429137458,0.13177221033194847,0.6187359592611286,4710.0,47091.0,26343207.0,14976.0
xgboost__adasyn__p001__20260407_131823,xgboost,adasyn,0.001,0.00096679,123301985,119207,55396,26409984,17107,26409984,19686,122.94,2026-04-07T13:25:50,0.03749168994028422,0.9635756015810362,0.6493506493506493,0.0029227801484772316,0.005819366852886406,0.50146087857261,50.0,27.0,26392850.0,17057.0,0.09888220043474252,0.9681886204278098,0.8928571428571429,0.024128822513461344,0.046987832624394106,0.5120633313143997,475.0,57.0,26390241.0,19211.0,0.03095635585486889,f1,0.06815679365778463,0.10855205471444437,0.08373728947309088,0.5537950453104513,1857.0,25389.0,26367488.0,15250.0,0.08328750018581006,0.2846185106166819,0.12886532733817085,0.6411408334890792,5603.0,61670.0,26328628.0,14083.0
xgboost__random_undersampling__p005__20260404_151255,xgboost,random_undersampling,0.005,0.005,12762200,63811,0,26409984,17107,26409984,19686,13.45,2026-04-04T15:18:28,0.04198390669800328,0.9634006556962907,0.21502347417840376,0.02677266616005144,0.04761657223059729,0.5133546578670662,458.0,1672.0,26391205.0,16649.0,0.0975961716266758,0.9670243892864584,0.21694579109739973,0.10002031900843239,0.13691676517627424,0.549875507746971,1969.0,7107.0,26383191.0,17717.0,0.2952426075935364,f1,0.07317570322054627,0.08394224586426609,0.07819008466962511,0.5416265602685166,1436.0,18188.0,26374689.0,15671.0,0.09696215942329395,0.21385756375088896,0.13342841296252278,0.6061859141745966,4210.0,39209.0,26351089.0,15476.0
xgboost__random_undersampling__p001__20260404_151842,xgboost,random_undersampling,0.001,0.001,63811000,63811,0,26409984,17107,26409984,19686,63.68,2026-04-04T15:27:03,0.04555210986878026,0.9633195268304513,0.7841726618705036,0.006371660723680365,0.012640612315899339,0.5031852620266953,109.0,30.0,26392847.0,16998.0,0.09236864465707165,0.9652214123910611,0.5450563204005007,0.044244640861525956,0.08184551775981959,0.522108546429426,871.0,727.0,26389571.0,18815.0,0.07691548764705658,f1,0.08428744030838271,0.08563745835038289,0.08495708652284853,0.5425172084277707,1465.0,15916.0,26376961.0,15642.0,0.08625379743065345,0.22066443157573912,0.12402746648774429,0.6094603233977198,4344.0,46019.0,26344279.0,15342.0
xgboost__random_undersampling__p010__20260404_150729,xgboost,random_undersampling,0.01,0.01,6381099,63811,0,26409984,17107,26409984,19686,7.29,2026-04-04T15:12:41,0.04526572134173088,0.9644840644169306,0.10733925549915398,0.0593324370140878,0.07642209087828936,0.5295063079372486,1015.0,8441.0,26384436.0,16092.0,0.08815451660473232,0.9683050937890576,0.11314606009255035,0.17636899319313218,0.1378543635352974,0.587668890444641,3472.0,27214.0,26363084.0,16214.0,0.41867175698280334,f1,0.08061079545454546,0.09288595311860642,0.08631413129090959,0.5460996452885355,1589.0,18123.0,26374754.0,15518.0,0.09167436814401093,0.2317890886924718,0.13138496976677225,0.6150379606123204,4563.0,45211.0,26345087.0,15123.0
xgboost__class_weighting__p010__20260407_155304,xgboost,class_weighting,0.01,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,125.38,2026-04-07T15:59:38,0.03890839572892604,0.9650714291160019,0.03257106027070104,0.38107207575846147,0.06001270402386147,0.6868678511938693,6519.0,193628.0,26199249.0,10588.0,0.0751863945778895,0.9698186739696449,0.037483682476533844,0.5207253886010362,0.06993331400405915,0.755375482712378,10251.0,263228.0,26127070.0,9435.0,0.7365705966949463,f1,0.07876106194690266,0.08844332729292102,0.08332186028581656,0.5438864027349796,1513.0,17697.0,26375180.0,15594.0,0.09367709280714935,0.24067865488164178,0.13486280314243423,0.6194708264485255,4738.0,45840.0,26344458.0,14948.0
xgboost__smote__p001__20260407_085048,xgboost,smote,0.001,0.001,123306084,123306,59495,26409984,17107,26409984,19686,119.83,2026-04-07T08:57:47,0.03264340387919385,0.9621719634576599,0.9285714285714286,0.0022797685158122407,0.0045483701673566974,0.5011398274244064,39.0,3.0,26392874.0,17068.0,0.0719059921678972,0.9644885114911355,0.7565982404692082,0.026211520877781166,0.05066771406127259,0.5131026153436765,516.0,166.0,26390132.0,19170.0,0.022783104330301285,f1,0.03599839113335717,0.1883439527678728,0.06044404423558545,0.5925374065717978,3222.0,86282.0,26306595.0,13885.0,0.03851613109785381,0.36665650716245046,0.06970949548018233,0.6799144232409973,7218.0,180184.0,26210114.0,12468.0
xgboost__class_weighting__p005__20260407_155941,xgboost,class_weighting,0.005,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,124.54,2026-04-07T16:06:17,0.03596888803479655,0.9651344435740449,0.022350429709784868,0.5679546384520956,0.04300837282186008,0.7759259802227306,9716.0,424996.0,25967881.0,7391.0,0.07060547466628317,0.9698225411957295,0.023522296560041348,0.6658031088082902,0.04543926004763374,0.8225926711925894,13107.0,544109.0,25846189.0,6579.0,0.8333836197853088,f1,0.06702602230483272,0.10539545215408896,0.08194150930533779,0.5522222758258409,1803.0,25097.0,26367780.0,15304.0,0.08540852378432812,0.2541907954891801,0.12785691472373042,0.6260801572194546,5004.0,53585.0,26336713.0,14682.0
random_forest__random_undersampling__p010__20260404_143732,random_forest,random_undersampling,0.01,0.01,6381099,63811,0,26409984,17107,26409984,19686,60.33,2026-04-04T14:44:36,0.035094187981969595,0.9547032639350794,0.47038327526132406,0.007891506400888525,0.015522593997930321,0.5039428736356445,135.0,152.0,26392725.0,16972.0,0.0582432868857208,0.9438129924689435,0.21813110181311018,0.039723661485319514,0.06720811310214429,0.5198087241047623,782.0,2803.0,26387495.0,18904.0,0.3042387889887889,f1,0.061152338280593674,0.10212193838779447,0.07649698960043788,0.5505528586154396,1747.0,26821.0,26366056.0,15360.0,0.0794698553679736,0.23361779945138678,0.11859664504815813,0.6157995894102137,4599.0,53272.0,26337026.0,15087.0
