run_id,model,strategy,target_prevalence,feature,importance
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,amount_paid,0.05220128833387878
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,amount_received,0.056894671594669335
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,payment_format,0.049178767085588354
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,payment_currency,0.017420740767272586
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,hour,0.037076235195515124
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,day_of_week,0.029154541597665205
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,same_bank_flag,0.0015092608050925357
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,self_transfer_flag,0.0006239406931151944
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,currency_mismatch,0.00016423660314031474
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,amount_ratio,2.483123654195832e-05
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,fan_in_score,0.03871710655100081
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,fan_out_score,0.017925388843369184
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,sender_tx_count_1d,0.027834173981299414
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,sender_tx_count_7d,0.034497430280411794
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,sender_tx_count_30d,0.04309580851268472
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,sender_avg_amount_7d,0.045885912428609746
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,sender_avg_amount_30d,0.061802041080653854
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,sender_unique_counterparties_7d,0.019336699683222634
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,sender_unique_counterparties_30d,0.021684928701799888
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,sender_cross_bank_ratio_30d,0.02456629030397524
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,sender_entity_type,0.02306432322097153
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,receiver_tx_count_1d,0.037146743276890035
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,receiver_tx_count_7d,0.03345139585699609
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,receiver_tx_count_30d,0.04245997948650014
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,receiver_avg_amount_7d,0.05262752437208978
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,receiver_avg_amount_30d,0.05456134976857607
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,receiver_unique_counterparties_7d,0.036485624126277046
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,receiver_unique_counterparties_30d,0.04468046906305484
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,receiver_cross_bank_ratio_30d,0.036673588881082346
random_forest__adasyn__p001__20260407_124424,random_forest,adasyn,0.001,receiver_entity_type,0.059254707668055615
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,amount_paid,0.02363821598792171
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,amount_received,0.023910900951851975
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,payment_format,0.11635706817183845
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,payment_currency,0.009880615317250603
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,hour,0.018639234129265214
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,day_of_week,0.03695788729364841
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,same_bank_flag,0.00130632767539438
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,self_transfer_flag,0.0010566920176548606
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,currency_mismatch,0.0003991644429839049
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,amount_ratio,8.284648170985629e-05
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,fan_in_score,0.02117703116634849
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,fan_out_score,0.014943111793318446
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,sender_tx_count_1d,0.03538991791167314
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,sender_tx_count_7d,0.021712539896322557
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,sender_tx_count_30d,0.029477218228192863
